Comparison:Concession:Contra-expectation	COMPARISON:Concession
Comparison:Contrast	COMPARISON:Contrast
Contigency:Cause:Result	CONTINGENCY:Cause:Result
Contingency:Cause:Reason	CONTINGENCY:Cause:Reason
Contingency:Cause:Result	CONTINGENCY:Cause:Result
Contingency:Cause-belief:Reason	CONTINGENCY:Cause:Reason
Contingency:Cause-Belief:Result	CONTINGENCY:Cause:Result
Contingency:Condition	CONTINGENCY:Condition
Contingency:Negative Condition	CONTINGENCY:Negative-condition
Contingency:Negative-condition	CONTINGENCY:Negative-condition
Contingency:Purpose	CONTINGENCY:Purpose
Exapansion:Conjunction	EXPANSION:Conjunction
Exapansion:Equivalence	EXPANSION:Equivalence
Exapnansion:Exception	EXPANSION:Exception
Expansion:Conjunction	EXPANSION:Conjunction
Expansion:Disjunction	EXPANSION:Disjunction
Expansion:Equivalence	EXPANSION:Equivalence
Expansion:Exception	EXPANSION:Exception
Expansion:Instantiation	EXPANSION:Instantiation
Expansion:Specification	EXPANSION:Level-of-detail
Expansion:Specification:Summarization	EXPANSION:Level-of-detail
Expansion:Substitution	EXPANSION:Substitution
Temporal:Asynchronous:Precedence	TEMPORAL:Asynchronous:Precedence
Temporal:Asynchronous:Precendence	TEMPORAL:Asynchronous:Precedence
Temporal:Asynchronous:Succession	TEMPORAL:Asynchronous:Succession
Temporal:Synchronous	TEMPORAL:Synchronous
