addition	EXPANSION
cCONTINGENCY:Cause:result	CONTINGENCY:Cause:Result
cCONTINGENCY:Cause:resulte	CONTINGENCY:Cause:Result
COMPARISON:Concession:Arg1-as-denier	COMPARISON:Concession:Arg1-as-denier
COMPARISON:Concession:Arg2-as-denier	COMPARISON:Concession:Arg2-as-denier
COMPARISON:Contrast	COMPARISON:Contrast
COMPARISON:Similarity	COMPARISON:Similarity
consequence	CONTINGENCY:Cause:Result
CONTINGENCY:Cause:reason	CONTINGENCY:Cause:Reason
CONTINGENCY:Cause:result	CONTINGENCY:Cause:Result
CONTINGENCY:Condition	CONTINGENCY:Condition
CONTINGENCY:Negative-Condition:Arg1-as-negcond	CONTINGENCY:Negative-condition:Arg1-as-negcond
CONTINGENCY:Negative-Condition:Arg2-as-negcond	CONTINGENCY:Negative-condition:Arg2-as-negcond
CONTINGENCY:Purpose:Arg1-as-goal	CONTINGENCY:Purpose:Arg1-as-goal
CONTINGENCY:Purpose:Arg2-as-goal	CONTINGENCY:Purpose:Arg2-as-goal
contrast	COMPARISON:Contrast
EXPANSION: Conjunction	EXPANSION:Conjunction
EXPANSION:Conjunction	EXPANSION:Conjunction
EXPANSION:Disjunction	EXPANSION:Disjunction
EXPANSION:Equivalence	EXPANSION:Equivalence
EXPANSION:Exception:Arg1-as-except	EXPANSION:Exception:Arg1-as-excpt
EXPANSION:Exception:Arg2-as-except	EXPANSION:Exception:Arg2-as-excpt
EXPANSION:Exception:Arg2-as-excpt	EXPANSION:Exception:Arg2-as-excpt
EXPANSION:Instantiation	EXPANSION:Instantiation
EXPANSION:Specification:Arg1-as-detail(Summarization)	EXPANSION:Specification:Arg1-as-detail
EXPANSION:Specification:Arg2-as-detail(Specification)	EXPANSION:Specification:Arg2-as-detail
EXPANSION:Substitution:Arg1-as-subst	EXPANSION:Substitution:Arg1-as-subst
reformulation	EXPANSION:Equivalence
TEMPORAL:Asynchronous:precedence	TEMPORAL:Asynchronous:Precedence
TEMPORAL:Asynchronous:Precedence	TEMPORAL:Asynchronous:Precedence
TEMPORAL:Asynchronous:succession	TEMPORAL:Asynchronous:Succession
TEMPORAL:Syncrony	TEMPORAL:Synchronous
