-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	67709	82407	54347	|	0.92908	0.80265	0.65949	0.72406	|	0.92651	0.78050	0.65318	0.71118	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	57838	82407	52098	|	0.93828	0.90075	0.63220	0.74295	|	0.93690	0.88682	0.62857	0.73569	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	63410	82407	50320	|	0.92265	0.79356	0.61062	0.69018	|	0.92004	0.76950	0.60328	0.67632	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	51776	82407	46575	|	0.92974	0.89954	0.56518	0.69420	|	0.92831	0.88342	0.56073	0.68602	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	60261	82407	45886	|	0.91286	0.76145	0.55682	0.64325	|	0.90990	0.73276	0.54732	0.62661	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	46735	82407	42760	|	0.92531	0.91494	0.51888	0.66221	|	0.92361	0.89369	0.51301	0.65185	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	67475	82407	49387	|	0.91250	0.73193	0.59930	0.65901	|	0.90916	0.70306	0.58960	0.64135	|	[4] <= [18, 21, 24, 27], direct
4	4	51311	82407	46351	|	0.92977	0.90333	0.56246	0.69326	|	0.92800	0.88320	0.55691	0.68309	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	71716	82407	49027	|	0.90400	0.68362	0.59493	0.63620	|	0.90025	0.65308	0.58387	0.61654	|	[4] <= [21, 24, 27], direct
4	3	50711	82407	45604	|	0.92824	0.89929	0.55339	0.68516	|	0.92627	0.87659	0.54707	0.67369	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	83139	82407	46131	|	0.87453	0.55486	0.55979	0.55731	|	0.87125	0.53183	0.54932	0.54043	|	[4] <= [24, 27], direct
4	2	50822	82407	42582	|	0.91771	0.83786	0.51672	0.63923	|	0.91589	0.81694	0.51041	0.62828	|	[4] <= [24, 27], -iterate/-dimlex
4	1	57648	82407	37550	|	0.88879	0.65136	0.45566	0.53621	|	0.88823	0.64567	0.45348	0.53278	|	[4] <= [27], direct
4	1	40057	82407	35346	|	0.91136	0.88239	0.42891	0.57724	|	0.91095	0.87640	0.42725	0.57445	|	[4] <= [27], -iterate/-dimlex
4	1	42220	82407	23159	|	0.86593	0.54853	0.28103	0.37165	|	0.86317	0.51046	0.26673	0.35038	|	[4] <= [24], direct
4	1	14346	82407	13815	|	0.88165	0.96298	0.16764	0.28557	|	0.88084	0.92973	0.16279	0.27707	|	[4] <= [24], -iterate/-dimlex
4	2	78949	82407	50803	|	0.89770	0.64349	0.61648	0.62970	|	0.89536	0.62621	0.61003	0.61801	|	[4] <= [21, 27], direct
4	2	55656	82407	47056	|	0.92475	0.84547	0.57101	0.68165	|	0.92295	0.82655	0.56546	0.67152	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48573	82407	36888	|	0.90206	0.75943	0.44763	0.56326	|	0.90018	0.73684	0.44017	0.55112	|	[4] <= [21], direct
4	1	37407	82407	33731	|	0.91037	0.90172	0.40932	0.56305	|	0.90916	0.88296	0.40424	0.55458	|	[4] <= [21], -iterate/-dimlex
4	2	73827	82407	45664	|	0.88887	0.61852	0.55412	0.58455	|	0.88521	0.58951	0.54222	0.56488	|	[4] <= [21, 24], direct
4	2	47677	82407	41795	|	0.92039	0.87662	0.50717	0.64258	|	0.91852	0.85366	0.50054	0.63106	|	[4] <= [21, 24], -iterate/-dimlex
4	3	70574	82407	47037	|	0.89914	0.66649	0.57078	0.61493	|	0.89542	0.63570	0.55916	0.59498	|	[4] <= [18, 24, 27], direct
4	3	49141	82407	44019	|	0.92550	0.89576	0.53416	0.66924	|	0.92350	0.87191	0.52744	0.65728	|	[4] <= [18, 24, 27], -iterate/-dimlex
4	2	77275	82407	47463	|	0.88913	0.61420	0.57595	0.59446	|	0.88678	0.59648	0.56878	0.58230	|	[4] <= [18, 27], direct
4	2	53556	82407	43650	|	0.91668	0.81503	0.52968	0.64208	|	0.91499	0.79664	0.52399	0.63217	|	[4] <= [18, 27], -iterate/-dimlex
4	1	45086	82407	32182	|	0.89191	0.71379	0.39052	0.50484	|	0.88968	0.68486	0.38072	0.48939	|	[4] <= [18], direct
4	1	27470	82407	25952	|	0.90074	0.94473	0.31492	0.47238	|	0.89931	0.91427	0.30789	0.46065	|	[4] <= [18], -iterate/-dimlex
4	2	70570	82407	41095	|	0.87880	0.58232	0.49868	0.53727	|	0.87503	0.55112	0.48491	0.51590	|	[4] <= [18, 24], direct
4	2	42186	82407	37560	|	0.91529	0.89034	0.45578	0.60292	|	0.91345	0.86476	0.44856	0.59071	|	[4] <= [18, 24], -iterate/-dimlex
4	3	67080	82407	49309	|	0.91290	0.73507	0.59835	0.65970	|	0.90998	0.70963	0.58986	0.64422	|	[4] <= [18, 21, 27], direct
