-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	69508	85705	56365	|	0.92767	0.81091	0.65766	0.72629	|	0.92674	0.80308	0.65547	0.72181	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	59075	85705	54860	|	0.94031	0.92865	0.64010	0.75783	|	0.94027	0.92824	0.64000	0.75763	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	65023	85705	50752	|	0.91619	0.78052	0.59217	0.67342	|	0.91535	0.77292	0.58980	0.66906	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	51526	85705	47114	|	0.92678	0.91437	0.54972	0.68663	|	0.92676	0.91404	0.54963	0.68647	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	64435	85705	49523	|	0.91301	0.76857	0.57783	0.65969	|	0.91216	0.76079	0.57534	0.65520	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	50436	85705	45993	|	0.92482	0.91190	0.53664	0.67566	|	0.92479	0.91157	0.53655	0.67550	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	64695	85705	50058	|	0.91439	0.77375	0.58407	0.66566	|	0.91355	0.76611	0.58166	0.66126	|	[4] <= [18, 21, 24, 27], direct
4	4	50745	85705	46446	|	0.92584	0.91528	0.54192	0.68077	|	0.92582	0.91504	0.54186	0.68066	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	66291	85705	47734	|	0.90376	0.72006	0.55695	0.62809	|	0.90250	0.70890	0.55309	0.62138	|	[4] <= [21, 24, 27], direct
4	3	48064	85705	42914	|	0.91838	0.89285	0.50071	0.64161	|	0.91835	0.89253	0.50063	0.64146	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	87449	85705	50727	|	0.87793	0.58007	0.59187	0.58591	|	0.87431	0.55576	0.58149	0.56833	|	[4] <= [24, 27], direct
4	2	56661	85705	48030	|	0.92116	0.84767	0.56041	0.67473	|	0.92109	0.84687	0.56017	0.67432	|	[4] <= [24, 27], -iterate/-dimlex
4	1	65953	85705	44089	|	0.89192	0.66849	0.51442	0.58142	|	0.88797	0.63329	0.50091	0.55937	|	[4] <= [27], direct
4	1	46538	85705	41332	|	0.91559	0.88813	0.48225	0.62509	|	0.91280	0.85295	0.47217	0.60785	|	[4] <= [27], -iterate/-dimlex
4	1	41780	85705	24009	|	0.86471	0.57465	0.28013	0.37665	|	0.86203	0.53697	0.26666	0.35636	|	[4] <= [24], direct
4	1	15362	85705	14663	|	0.87786	0.95449	0.17108	0.29016	|	0.87747	0.93972	0.16888	0.28631	|	[4] <= [24], -iterate/-dimlex
4	2	82319	85705	53630	|	0.89655	0.65148	0.62575	0.63836	|	0.89464	0.63790	0.62080	0.62924	|	[4] <= [21, 27], direct
4	2	60892	85705	51615	|	0.92617	0.84764	0.60224	0.70417	|	0.92600	0.84607	0.60179	0.70332	|	[4] <= [21, 27], -iterate/-dimlex
