-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	10	2214	5023	986	|	0.89900	0.44534	0.19629	0.27248	|	0.89324	0.30984	0.14524	0.19778	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	10	1068	5023	780	|	0.91308	0.73033	0.15528	0.25611	|	0.90809	0.48689	0.10917	0.17835	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	9	2605	5023	1089	|	0.89545	0.41804	0.21680	0.28552	|	0.88925	0.29404	0.16297	0.20971	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	9	1168	5023	860	|	0.91423	0.73630	0.17121	0.27782	|	0.90919	0.51113	0.12542	0.20141	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	8	2624	5023	1089	|	0.89509	0.41501	0.21680	0.28481	|	0.88872	0.28849	0.16137	0.20697	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], direct
4	8	1137	5023	841	|	0.91410	0.73966	0.16742	0.27305	|	0.90913	0.51187	0.12216	0.19725	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	7	2899	5023	1136	|	0.89161	0.39185	0.22615	0.28679	|	0.88503	0.27354	0.16944	0.20926	|	[4] <= [16, 21, 24, 27, 30, 33, 36], direct
4	7	1199	5023	871	|	0.91406	0.72643	0.17340	0.27997	|	0.90892	0.50291	0.12681	0.20255	|	[4] <= [16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	6	2583	5023	1046	|	0.89422	0.40495	0.20824	0.27504	|	0.88797	0.27874	0.15328	0.19780	|	[4] <= [21, 24, 27, 30, 33, 36], direct
4	6	1071	5023	775	|	0.91283	0.72362	0.15429	0.25434	|	0.90786	0.48179	0.10831	0.17686	|	[4] <= [21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	5	2343	5023	938	|	0.89468	0.40034	0.18674	0.25468	|	0.88906	0.27528	0.13636	0.18238	|	[4] <= [24, 27, 30, 33, 36], direct
4	5	956	5023	711	|	0.91258	0.74372	0.14154	0.23783	|	0.90796	0.49163	0.09828	0.16382	|	[4] <= [24, 27, 30, 33, 36], -iterate/-dimlex
4	4	3406	5023	1147	|	0.88231	0.33675	0.22834	0.27215	|	0.87516	0.22724	0.16645	0.19215	|	[4] <= [27, 30, 33, 36], direct
4	4	1161	5023	856	|	0.91421	0.73729	0.17041	0.27684	|	0.91225	0.64944	0.15322	0.24794	|	[4] <= [27, 30, 33, 36], -iterate/-dimlex
4	3	3095	5023	1019	|	0.88337	0.32924	0.20286	0.25104	|	0.87679	0.21841	0.14444	0.17389	|	[4] <= [30, 33, 36], direct
4	3	1016	5023	757	|	0.91319	0.74507	0.15070	0.25070	|	0.91153	0.65944	0.13573	0.22513	|	[4] <= [30, 33, 36], -iterate/-dimlex
4	2	6129	5023	1408	|	0.84009	0.22972	0.28031	0.25251	|	0.82848	0.13101	0.18175	0.15227	|	[4] <= [33, 36], direct
4	2	1351	5023	859	|	0.91068	0.63582	0.17101	0.26953	|	0.90592	0.45225	0.12795	0.19947	|	[4] <= [33, 36], -iterate/-dimlex
4	1	3774	5023	1050	|	0.87153	0.27821	0.20903	0.23871	|	0.85906	0.10598	0.09147	0.09819	|	[4] <= [36], direct
4	1	1012	5023	698	|	0.91101	0.68972	0.13896	0.23131	|	0.90575	0.41897	0.08928	0.14719	|	[4] <= [36], -iterate/-dimlex
4	1	3302	5023	748	|	0.86900	0.22652	0.14891	0.17969	|	0.86602	0.17958	0.12181	0.14516	|	[4] <= [33], direct
4	1	500	5023	367	|	0.90813	0.734	0.07306	0.13289	|	0.90811	0.732	0.07287	0.13256	|	[4] <= [33], -iterate/-dimlex
4	2	5646	5023	1388	|	0.84859	0.24583	0.27632	0.26019	|	0.83666	0.13567	0.17405	0.15248	|	[4] <= [30, 36], direct
4	2	1535	5023	965	|	0.91122	0.62866	0.19211	0.29429	|	0.90901	0.55374	0.17318	0.26385	|	[4] <= [30, 36], -iterate/-dimlex
4	1	3188	5023	962	|	0.87939	0.30175	0.19151	0.23431	|	0.87232	0.18601	0.12741	0.15123	|	[4] <= [30], direct
4	1	944	5023	651	|	0.91051	0.68961	0.12960	0.21820	|	0.90872	0.59110	0.11318	0.18998	|	[4] <= [30], -iterate/-dimlex
4	2	5576	5023	1337	|	0.84797	0.23977	0.26617	0.25228	|	0.83934	0.15907	0.19396	0.17479	|	[4] <= [30, 33], direct
4	2	1379	5023	904	|	0.91187	0.65554	0.17997	0.28241	|	0.90999	0.58448	0.16365	0.25571	|	[4] <= [30, 33], -iterate/-dimlex
4	3	3233	5023	1039	|	0.88149	0.32137	0.20684	0.25169	|	0.87456	0.20971	0.14543	0.17175	|	[4] <= [27, 33, 36], direct
