# id	language	word	English	structural	semantic	PoS	comment	example
1	ca	a	to	(vague)	(vague)			
1	ca	a	at	(vague)	(vague)			
2	ca	a banda	besides	--	equality	A		
3	ca	a condició de	provided that	elaboration	context	P		
4	ca	a més	moreover	--	equality	A		
5	ca	a no ser que	unless	elaboration	context	P		
6	ca	a pesar de	despite	elaboration	revision	P		
7	ca	a propòsit	by the way	continuation	equality	A		
8	ca	abans	before	elaboration	context	A		
9	ca	abans de res	first of all	--	context, equality			
10	ca	així que	thus	continuation	cause	P		
11	ca	al contrari	on the contrary	continuation	revision	A		
12	ca	aleshores	then	continuation	context	A		
13	ca	alhora	at the same time	--	context	A		
14	ca	amb	with	(vague)	(vague)			
15	ca	ara bé	well now	continuation	revision	A		
16	ca	cap a	towards	elaboration	context	P		
17	ca	com	like	elaboration	equality, context, cause			
17	ca	com	since	elaboration	cause, context			
18	ca	com a conseqüència	as a consequence	continuation	cause	A		
19	ca	concretament	specifically	elaboration	equality	A		
20	ca	considerant	considering	elaboration	context	P 		
21	ca	contra	against	(vague)	(vague)			
22	ca	d'acord amb	in accordance with	elaboration	context	P		
23	ca	de fet	in fact	continuation	revision	A	it is true that in contrast with actually or in fact, its primary meaning is revision, like en realidad, en realitat, de fet, de hecho in Spanish and Catalan.	
24	ca	de moment	for the moment	elaboration	context	A		
25	ca	de tota manera	anyway	--	revision	A		
26	ca	degut a	due to	elaboration	cause	P		
27	ca	desde	since	elaboration	cause, context			
28	ca	després	after	elaboration	context	P		
29	ca	donat que	given that	elaboration	cause	P		
30	ca	durant	during	elaboration	context	P		
31	ca	el fet és que	the fact is	continuation	revision	P		
32	ca	en	in	(vague)	(vague)			
33	ca	en altres paraules	in other words	elaboration	equality	A		
34	ca	en aquest cas	in that case	continuation	context	A		
35	ca	en comparació	in comparison	elaboration	equality	A		
36	ca	en conclusió	in conclusion	continuation	cause	A		
37	ca	en darrer lloc	lastly	continuation	equality	A		
38	ca	en dues paraules	in short	--	equality	A		
39	ca	en efecte	in effect	continuation	cause	A		
40	ca	en essència	essentially	elaboration	equality	A		
41	ca	en particular	in particular	elaboration	equality	A		
42	ca	en qualsevol cas	in any case	continuation	context	A		
43	ca	en realitat	actually	continuation	revision	A	it is true that in contrast with actually or in fact, its primary meaning is revision, like en realidad, en realitat, de fet, de hecho in Spanish and Catalan.	
43	ca	en realitat						Tot va començar, com en les novel.les policíaques, amb un fiscal, entestat a treure a la llum el taló d'Aquil.les del president demòcrata. L'ham: una becària de 22 anys, grassoneta --usa la talla 46--, de pits exuberants i boca àmplia, una mica esbojarrada ja que creia tenir una relació sentimental quan en realitat va mantenir 10 trobades sexuals servides a domicili amb el senyor Clinton, qui, durant set mesos, es va obstinar a negar haver mantingut contacte físic amb ella.
44	ca	en resum	in sum	elaboration	equality	A		
45	ca	encara més	what's more	--	equality	A		
46	ca	encara que	although	elaboration	revision	P		
47	ca	entre	between	elaboration	context	P		
48	ca	és a dir	that is to say	elaboration	equality	C		
49	ca	és cert que	it is true that	continuation	revision	P		
50	ca	especialment	specially	--	equality	A		
51	ca	excepte	except	elaboration	revision	P		
52	ca	fins a	until	elaboration	context	P		
53	ca	fins i tot	incluso	--	equality	P		
54	ca	gràcies a	thanks to	elaboration	cause	P		
55	ca	i	and	(vague)	(vague)			
56	ca	lluny de	far from	elaboration	context	P		
57	ca	malgrat	in spite of	elaboration	revision	P		
58	ca	mentre	while	elaboration	context	P		
59	ca	mitjançant	by means of	elaboration	context	P		
60	ca	ni	nor	(vague)	(vague)			
60	ca	ni	neither	(vague)	(vague)			
61	ca	no només	not only	continuation	equality	P		
62	ca	no obstant	however	continuation	revision	A		
63	ca	nogensmenys	nevertheless	continuation	revision	A		
64	ca	o	or	(vague)	(vague)			
65	ca	on	where	elaboration	context	P		
66	ca	originalment	originally	elaboration	context	A		
67	ca	per	because of	elaboration	cause	P		
67	ca	per	in order to	continuation	cause	P	perquè / per in Catalan these discourse markers are underspecified with respect to structural meaning, they can be equivalent to so that / to [ex] or to because / because of [ex].	
68	ca	per això	that's why	continuation	cause	A		
69	ca	per altra banda	on the other hand	continuation	equality	A		
70	ca	per aquesta raó	for this reason	continuation	cause	A		
