# global.columns = word lang pdtb1 pdtb2 pdtb3
	pt	COMPARISON	COMPARISON	COMPARISON	
	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
a fim de que	pt	CONTINGENCY	CONTINGENCY	CONTINGENCY	
a fim de que	pt	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose	
a fim de que	pt	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg2-as-goal	
a menos que	pt	COMPARISON	COMPARISON	COMPARISON	
a menos que	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
a menos que	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
a não ser que	pt	COMPARISON	COMPARISON	COMPARISON	
a não ser que	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
a não ser que	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
a partir do momento em que	pt	TEMPORAL	TEMPORAL	TEMPORAL	
a partir do momento em que	pt	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a partir do momento em que	pt	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
a propósito de	pt	EXPANSION	EXPANSION	EXPANSION	
a propósito de	pt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a razão era	pt	CONTINGENCY	CONTINGENCY	CONTINGENCY	
a razão era	pt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a razão era	pt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
acontece que	pt	EXPANSION	EXPANSION	EXPANSION	
acontece que	pt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
afinal	pt	EXPANSION	EXPANSION	EXPANSION	
afinal	pt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
agora	pt	EXPANSION	EXPANSION	EXPANSION	
agora	pt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
agora que	pt	CONTINGENCY	CONTINGENCY	CONTINGENCY	
agora que	pt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
agora que	pt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
ainda	pt	EXPANSION	EXPANSION	EXPANSION	
ainda	pt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
ainda assim	pt	COMPARISON	COMPARISON	COMPARISON	
ainda assim	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
ainda assim	pt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
ainda que	pt	COMPARISON	COMPARISON	COMPARISON	
