# global.columns = word lang pdtb1 pdtb2 pdtb3
 أضف 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 أو 	ar	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
 اذ 	ar	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
 اذ 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 اذ 	ar	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
 اذا 	ar	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
 اذن 	ar	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
 اكد 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 الا 	ar	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
 ام 	ar	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
 ان 	ar	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
 ان 	ar	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
 او 	ar	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
 او 	ar	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
 اولا 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 اي 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 ايا 	ar	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
 بان 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 بعد	ar	TEMPORAL	TEMPORAL	TEMPORAL	
 بعد	ar	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
 بل 	ar	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
 ثم 	ar	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
 حيث	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 حيث	ar	TEMPORAL	TEMPORAL	TEMPORAL	
 حيث	ar	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
 دعا	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 رأى 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
 رئى 	ar	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
