# global.columns = word lang pdtb1 pdtb2 pdtb3
#neg	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
#neg	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg -	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg -	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg - pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg - pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg a	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg a	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg a naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg a naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg a pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg a pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg a spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg a spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg a spíše jenom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg a spíše jenom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
#neg ale	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg ale jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale spíše	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale spíše	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ale také	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg ale zato	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ale zato	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ani jako spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ani jako spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ani tak jako spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ani tak jako spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ba naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ba naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jako	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg jako	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg jen	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg jen a	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
#neg jen ale	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen ale i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen ale také	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen ale též	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen i	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg jen i	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg jen nýbrž	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jen především	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jenom	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
#neg jenom	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg jenom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg jenom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg jenom ale i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg místo toho	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg místo toho	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg ne naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg ne naopak	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg nic jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg nic jen	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg nýbrž	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg nýbrž	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg pouze	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
#neg pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg pouze	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg pouze ale	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg pouze ale i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg pouze i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg pouze nýbrž a především	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
#neg přitom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg přitom	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg raději	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg raději	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg sice však	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg sice však	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg spíš	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg spíše	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg spíše	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
#neg však	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
#neg však	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
-	cs	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
-	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
-	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
-	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
-	cs	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose	
-	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
-	cs	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
-	cs	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg1-as-excpt	
-	cs	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
-	cs	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
-	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
-	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
-	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
-	cs	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
- -	cs	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
- a	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
- a nakonec	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
- a přitom	cs	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
- a to	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
- a zároveň	cs	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
- aby	cs	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose	
- anebo	cs	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
- což	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- dokonce	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
- dokonce i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
- leda	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
- li	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
- li	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
- např	cs	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
- například	cs	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
- ostatně	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- pokud	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
- prostě	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- proto	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
- přesto	cs	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
- přitom	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
- tedy	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- tedy	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
- tedy	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
- to	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- totiž	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
- totiž	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
- tzn	cs	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
- vlastně	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
- vlastně	cs	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
- vždyť	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
:	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
:	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
:	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
:	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
:	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
:	cs	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
:	cs	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
:	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
: aby	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
: například	cs	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
: ovšem	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
: proto	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
: přece	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
: tedy	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
: totiž	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
: totiž	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
;	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
;	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
;	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
; poté	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
; přitom	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
a	cs	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
a	cs	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
a	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a	cs	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
a	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a	cs	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
a	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
a	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a	cs	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
a ani	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a bezprostředně poté	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a bude pokračovat	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a do třetice	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dodal	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dodal jsem	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dodat	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dodejme	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dodává	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dokonce	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dokonce i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a doplňuje	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a dále	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a hned pak	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a i	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a i proto	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a jako důvod uvedla , že	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a ještě	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a ještě k tomu	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a k tomu	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a k tomu ještě	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a konečně	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a konečně	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a kromě toho	cs	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
a kvůli tomu	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a měly k tomu pochopitelné důvody	cs	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
a na závěr	cs	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	
a nadále	cs	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
