# global.columns = word lang pdtb1 pdtb2 pdtb3
a banda	ca	EXPANSION	EXPANSION	EXPANSION	
a condició de	ca	TEMPORAL	TEMPORAL	TEMPORAL	
a més	ca	EXPANSION	EXPANSION	EXPANSION	
a no ser que	ca	TEMPORAL	TEMPORAL	TEMPORAL	
a pesar de	ca	COMPARISON	COMPARISON	COMPARISON	
a propòsit	ca	EXPANSION	EXPANSION	EXPANSION	
abans	ca	TEMPORAL	TEMPORAL	TEMPORAL	
així que	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
al contrari	ca	COMPARISON	COMPARISON	COMPARISON	
aleshores	ca	TEMPORAL	TEMPORAL	TEMPORAL	
alhora	ca	TEMPORAL	TEMPORAL	TEMPORAL	
ara bé	ca	COMPARISON	COMPARISON	COMPARISON	
cap a	ca	TEMPORAL	TEMPORAL	TEMPORAL	
com a conseqüència	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
concretament	ca	EXPANSION	EXPANSION	EXPANSION	
considerant	ca	TEMPORAL	TEMPORAL	TEMPORAL	
d'acord amb	ca	TEMPORAL	TEMPORAL	TEMPORAL	
de fet	ca	COMPARISON	COMPARISON	COMPARISON	
de moment	ca	TEMPORAL	TEMPORAL	TEMPORAL	
de tota manera	ca	COMPARISON	COMPARISON	COMPARISON	
degut a	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
després	ca	TEMPORAL	TEMPORAL	TEMPORAL	
donat que	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
durant	ca	TEMPORAL	TEMPORAL	TEMPORAL	
el fet és que	ca	COMPARISON	COMPARISON	COMPARISON	
en altres paraules	ca	EXPANSION	EXPANSION	EXPANSION	
en aquest cas	ca	TEMPORAL	TEMPORAL	TEMPORAL	
en comparació	ca	EXPANSION	EXPANSION	EXPANSION	
en conclusió	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
en darrer lloc	ca	EXPANSION	EXPANSION	EXPANSION	
en dues paraules	ca	EXPANSION	EXPANSION	EXPANSION	
en efecte	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
en essència	ca	EXPANSION	EXPANSION	EXPANSION	
en particular	ca	EXPANSION	EXPANSION	EXPANSION	
en qualsevol cas	ca	TEMPORAL	TEMPORAL	TEMPORAL	
en realitat	ca	COMPARISON	COMPARISON	COMPARISON	
en resum	ca	EXPANSION	EXPANSION	EXPANSION	
encara més	ca	EXPANSION	EXPANSION	EXPANSION	
encara que	ca	COMPARISON	COMPARISON	COMPARISON	
entre	ca	TEMPORAL	TEMPORAL	TEMPORAL	
especialment	ca	EXPANSION	EXPANSION	EXPANSION	
excepte	ca	COMPARISON	COMPARISON	COMPARISON	
fins a	ca	TEMPORAL	TEMPORAL	TEMPORAL	
fins i tot	ca	EXPANSION	EXPANSION	EXPANSION	
gràcies a	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
lluny de	ca	TEMPORAL	TEMPORAL	TEMPORAL	
malgrat	ca	COMPARISON	COMPARISON	COMPARISON	
mentre	ca	TEMPORAL	TEMPORAL	TEMPORAL	
mitjançant	ca	TEMPORAL	TEMPORAL	TEMPORAL	
no només	ca	EXPANSION	EXPANSION	EXPANSION	
no obstant	ca	COMPARISON	COMPARISON	COMPARISON	
nogensmenys	ca	COMPARISON	COMPARISON	COMPARISON	
on	ca	TEMPORAL	TEMPORAL	TEMPORAL	
originalment	ca	TEMPORAL	TEMPORAL	TEMPORAL	
per	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
per això	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
per altra banda	ca	EXPANSION	EXPANSION	EXPANSION	
per aquesta raó	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
per exemple	ca	EXPANSION	EXPANSION	EXPANSION	
per si	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
per tant	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
per una banda	ca	EXPANSION	EXPANSION	EXPANSION	
perquè	ca	CONTINGENCY	CONTINGENCY	CONTINGENCY	
però	ca	COMPARISON	COMPARISON	COMPARISON	
precisament	ca	EXPANSION	EXPANSION	EXPANSION	
quan	ca	TEMPORAL	TEMPORAL	TEMPORAL	
respecte de	ca	TEMPORAL	TEMPORAL	TEMPORAL	
segons	ca	TEMPORAL	TEMPORAL	TEMPORAL	
sempre que	ca	TEMPORAL	TEMPORAL	TEMPORAL	
sens dubte	ca	TEMPORAL	TEMPORAL	TEMPORAL	
si	ca	TEMPORAL	TEMPORAL	TEMPORAL	
sinó també	ca	EXPANSION	EXPANSION	EXPANSION	
sobretot	ca	EXPANSION	EXPANSION	EXPANSION	
tal com	ca	EXPANSION	EXPANSION	EXPANSION	
també	ca	EXPANSION	EXPANSION	EXPANSION	
tan aviat com	ca	TEMPORAL	TEMPORAL	TEMPORAL	
tot i això	ca	COMPARISON	COMPARISON	COMPARISON	
és a dir	ca	EXPANSION	EXPANSION	EXPANSION	
és cert que	ca	COMPARISON	COMPARISON	COMPARISON	

