# global.columns = word lang pdtb1 pdtb2 pdtb3
above all	en	EXPANSION	EXPANSION	EXPANSION	
actually	en	COMPARISON	COMPARISON	COMPARISON	
after	en	TEMPORAL	TEMPORAL	TEMPORAL	
also	en	EXPANSION	EXPANSION	EXPANSION	
although	en	COMPARISON	COMPARISON	COMPARISON	
anyway	en	COMPARISON	COMPARISON	COMPARISON	
as a consequence	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
as soon as	en	TEMPORAL	TEMPORAL	TEMPORAL	
at the same time	en	TEMPORAL	TEMPORAL	TEMPORAL	
because	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
because of	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
before	en	TEMPORAL	TEMPORAL	TEMPORAL	
besides	en	EXPANSION	EXPANSION	EXPANSION	
between	en	TEMPORAL	TEMPORAL	TEMPORAL	
but	en	COMPARISON	COMPARISON	COMPARISON	
but also	en	EXPANSION	EXPANSION	EXPANSION	
by means of	en	TEMPORAL	TEMPORAL	TEMPORAL	
by the way	en	EXPANSION	EXPANSION	EXPANSION	
considering	en	TEMPORAL	TEMPORAL	TEMPORAL	
despite	en	COMPARISON	COMPARISON	COMPARISON	
due to	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
during	en	TEMPORAL	TEMPORAL	TEMPORAL	
essentially	en	EXPANSION	EXPANSION	EXPANSION	
even though	en	COMPARISON	COMPARISON	COMPARISON	
except	en	COMPARISON	COMPARISON	COMPARISON	
far from	en	TEMPORAL	TEMPORAL	TEMPORAL	
first of all	en	EXPANSION	EXPANSION	EXPANSION	
first of all	en	TEMPORAL	TEMPORAL	TEMPORAL	
following	en	TEMPORAL	TEMPORAL	TEMPORAL	
for example	en	EXPANSION	EXPANSION	EXPANSION	
for the moment	en	TEMPORAL	TEMPORAL	TEMPORAL	
for this reason	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
given that	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
however	en	COMPARISON	COMPARISON	COMPARISON	
if	en	TEMPORAL	TEMPORAL	TEMPORAL	
in accordance with	en	TEMPORAL	TEMPORAL	TEMPORAL	
in any case	en	TEMPORAL	TEMPORAL	TEMPORAL	
in case	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
in comparison	en	EXPANSION	EXPANSION	EXPANSION	
in conclusion	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
in effect	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
in fact	en	COMPARISON	COMPARISON	COMPARISON	
in order to	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
in other words	en	EXPANSION	EXPANSION	EXPANSION	
in particular	en	EXPANSION	EXPANSION	EXPANSION	
in short	en	EXPANSION	EXPANSION	EXPANSION	
in spite of	en	COMPARISON	COMPARISON	COMPARISON	
in sum	en	EXPANSION	EXPANSION	EXPANSION	
in that case	en	TEMPORAL	TEMPORAL	TEMPORAL	
incluso	en	EXPANSION	EXPANSION	EXPANSION	
it is true that	en	COMPARISON	COMPARISON	COMPARISON	
lastly	en	EXPANSION	EXPANSION	EXPANSION	
like	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
like	en	EXPANSION	EXPANSION	EXPANSION	
like	en	TEMPORAL	TEMPORAL	TEMPORAL	
moreover	en	EXPANSION	EXPANSION	EXPANSION	
nevertheless	en	COMPARISON	COMPARISON	COMPARISON	
no doubt	en	TEMPORAL	TEMPORAL	TEMPORAL	
not only	en	EXPANSION	EXPANSION	EXPANSION	
on the contrary	en	COMPARISON	COMPARISON	COMPARISON	
on the one hand	en	EXPANSION	EXPANSION	EXPANSION	
on the other hand	en	EXPANSION	EXPANSION	EXPANSION	
originally	en	TEMPORAL	TEMPORAL	TEMPORAL	
precisely	en	EXPANSION	EXPANSION	EXPANSION	
provided that	en	TEMPORAL	TEMPORAL	TEMPORAL	
since	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
since	en	TEMPORAL	TEMPORAL	TEMPORAL	
so	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
so that	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
specially	en	EXPANSION	EXPANSION	EXPANSION	
specifically	en	EXPANSION	EXPANSION	EXPANSION	
such as	en	EXPANSION	EXPANSION	EXPANSION	
thanks to	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
that is to say	en	EXPANSION	EXPANSION	EXPANSION	
that's why	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
the fact is	en	COMPARISON	COMPARISON	COMPARISON	
then	en	TEMPORAL	TEMPORAL	TEMPORAL	
thus	en	CONTINGENCY	CONTINGENCY	CONTINGENCY	
to begin with	en	EXPANSION	EXPANSION	EXPANSION	
to begin with	en	TEMPORAL	TEMPORAL	TEMPORAL	
towards	en	TEMPORAL	TEMPORAL	TEMPORAL	
unless	en	TEMPORAL	TEMPORAL	TEMPORAL	
until	en	TEMPORAL	TEMPORAL	TEMPORAL	
well now	en	COMPARISON	COMPARISON	COMPARISON	
what's more	en	EXPANSION	EXPANSION	EXPANSION	
when	en	TEMPORAL	TEMPORAL	TEMPORAL	
whenever	en	TEMPORAL	TEMPORAL	TEMPORAL	
where	en	TEMPORAL	TEMPORAL	TEMPORAL	
while	en	TEMPORAL	TEMPORAL	TEMPORAL	
with respect to	en	TEMPORAL	TEMPORAL	TEMPORAL	

