# global.columns = word lang pdtb1 pdtb2 pdtb3
a condición de	es	TEMPORAL	TEMPORAL	TEMPORAL	
a la vez	es	TEMPORAL	TEMPORAL	TEMPORAL	
a no ser que	es	TEMPORAL	TEMPORAL	TEMPORAL	
a pesar de	es	COMPARISON	COMPARISON	COMPARISON	
a propósito	es	EXPANSION	EXPANSION	EXPANSION	
además	es	EXPANSION	EXPANSION	EXPANSION	
ahora bien	es	COMPARISON	COMPARISON	COMPARISON	
al contrario	es	COMPARISON	COMPARISON	COMPARISON	
antes	es	TEMPORAL	TEMPORAL	TEMPORAL	
antes que nada	es	EXPANSION	EXPANSION	EXPANSION	
antes que nada	es	TEMPORAL	TEMPORAL	TEMPORAL	
aparte	es	EXPANSION	EXPANSION	EXPANSION	
así que	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
aunque	es	COMPARISON	COMPARISON	COMPARISON	
aún es más	es	EXPANSION	EXPANSION	EXPANSION	
como	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
como	es	EXPANSION	EXPANSION	EXPANSION	
como	es	TEMPORAL	TEMPORAL	TEMPORAL	
como consecuencia	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
con todo	es	COMPARISON	COMPARISON	COMPARISON	
concretamente	es	EXPANSION	EXPANSION	EXPANSION	
cuando	es	TEMPORAL	TEMPORAL	TEMPORAL	
dado que	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
de acuerdo con	es	TEMPORAL	TEMPORAL	TEMPORAL	
de hecho	es	COMPARISON	COMPARISON	COMPARISON	
de todos modos	es	COMPARISON	COMPARISON	COMPARISON	
debido a	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
desde	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
desde	es	TEMPORAL	TEMPORAL	TEMPORAL	
después	es	TEMPORAL	TEMPORAL	TEMPORAL	
donde	es	TEMPORAL	TEMPORAL	TEMPORAL	
durante	es	TEMPORAL	TEMPORAL	TEMPORAL	
el hecho es que	es	COMPARISON	COMPARISON	COMPARISON	
en comparación	es	EXPANSION	EXPANSION	EXPANSION	
en conclusión	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
en cualquier caso	es	TEMPORAL	TEMPORAL	TEMPORAL	
en dos palabras	es	EXPANSION	EXPANSION	EXPANSION	
en efecto	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
en ese caso	es	TEMPORAL	TEMPORAL	TEMPORAL	
en esencia	es	EXPANSION	EXPANSION	EXPANSION	
en otras palabras	es	EXPANSION	EXPANSION	EXPANSION	
en particular	es	EXPANSION	EXPANSION	EXPANSION	
en realidad	es	COMPARISON	COMPARISON	COMPARISON	
en resumen	es	EXPANSION	EXPANSION	EXPANSION	
entonces	es	TEMPORAL	TEMPORAL	TEMPORAL	
entre	es	TEMPORAL	TEMPORAL	TEMPORAL	
es cierto que	es	COMPARISON	COMPARISON	COMPARISON	
es decir	es	EXPANSION	EXPANSION	EXPANSION	
especialmente	es	EXPANSION	EXPANSION	EXPANSION	
even	es	EXPANSION	EXPANSION	EXPANSION	
excepto	es	COMPARISON	COMPARISON	COMPARISON	
gracias a	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
hacia	es	TEMPORAL	TEMPORAL	TEMPORAL	
hasta	es	TEMPORAL	TEMPORAL	TEMPORAL	
lejos de	es	TEMPORAL	TEMPORAL	TEMPORAL	
mediante	es	TEMPORAL	TEMPORAL	TEMPORAL	
mientras	es	TEMPORAL	TEMPORAL	TEMPORAL	
no obstante	es	COMPARISON	COMPARISON	COMPARISON	
no sólo	es	EXPANSION	EXPANSION	EXPANSION	
originalmente	es	TEMPORAL	TEMPORAL	TEMPORAL	
para	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
para empezar	es	EXPANSION	EXPANSION	EXPANSION	
para empezar	es	TEMPORAL	TEMPORAL	TEMPORAL	
para que	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
pero	es	COMPARISON	COMPARISON	COMPARISON	
pese a	es	COMPARISON	COMPARISON	COMPARISON	
por	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
por ejemplo	es	EXPANSION	EXPANSION	EXPANSION	
por el momento	es	TEMPORAL	TEMPORAL	TEMPORAL	
por eso	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
por esta razón	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
por otro lado	es	EXPANSION	EXPANSION	EXPANSION	
por si	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
por tanto	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
por un lado	es	EXPANSION	EXPANSION	EXPANSION	
por último	es	EXPANSION	EXPANSION	EXPANSION	
porque	es	CONTINGENCY	CONTINGENCY	CONTINGENCY	
precisamente	es	EXPANSION	EXPANSION	EXPANSION	
respecto a	es	TEMPORAL	TEMPORAL	TEMPORAL	
según	es	TEMPORAL	TEMPORAL	TEMPORAL	
si	es	TEMPORAL	TEMPORAL	TEMPORAL	
siempre que	es	TEMPORAL	TEMPORAL	TEMPORAL	
sin duda	es	TEMPORAL	TEMPORAL	TEMPORAL	
sin embargo	es	COMPARISON	COMPARISON	COMPARISON	
sino también	es	EXPANSION	EXPANSION	EXPANSION	
sobretodo	es	EXPANSION	EXPANSION	EXPANSION	
tal como	es	EXPANSION	EXPANSION	EXPANSION	
también	es	EXPANSION	EXPANSION	EXPANSION	
tan pronto como	es	TEMPORAL	TEMPORAL	TEMPORAL	
teniendo en cuenta	es	TEMPORAL	TEMPORAL	TEMPORAL	

