# global.columns = word lang pdtb1 pdtb2 pdtb3
Aan de ene kant Aan de andere kant	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Aan de ene kant aan de andere kant	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Aangenomen dat	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Aangezien	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Aansluitend	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Aanvankelijk	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Aanvankelijk	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Achteraf	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Afgezien van	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Al	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Al naargelang	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Alhoewel	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Alleen	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Allereerst	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Als	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Als	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Als	nl	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Als dan	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Als dan	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Als dan	nl	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Als gevolg	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Als gevolg daarvan	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Als gevolg hiervan	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Alsmede	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Alsof	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Alsook	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Althans	nl	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Alvorens	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Anders	nl	CONTINGENCY	CONTINGENCY:Negative-condition	CONTINGENCY:Negative-condition:Arg2-as-negcond	
Anders gezegd	nl	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
Behalve	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Behalve dat	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Behoudens	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Bijgevolg	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Bijvoorbeeld	nl	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Bovendien	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Buiten	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Buiten dat	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
D.w.z.	nl	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Daar	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Daar staat tegenover dat	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Daarbij	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Daarbovenop	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Daarbuiten	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg1-as-excpt	
Daardoor	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Daarenboven	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Daarentegen	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Daarmee	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Daarna	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Daarnaast	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Daarom	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Daarop	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Daartegenover staat dat	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Daartoe	nl	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg1-as-goal	
Daarvoor	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Dan	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg1-as-cond	
Dan	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Dan ook	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Dankzij	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Dat wil zeggen	nl	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Derhalve	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Des te meer	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
Des te minder	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
Desalniettemin	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Desniettemin	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Desondanks	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Dienovereenkomstig	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Dientengevolge	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Doch	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Door	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Door	nl	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg1-as-goal	
Doordat	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Dus	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Echter	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Echter	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Eer	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Eerder	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Eerst	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
En	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Enerzijds Anderzijds	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Ervoor	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Evenals	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Eveneens	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Evenmin	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Evenwel	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Evenzeeer	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Evenzo	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Gelet op	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Gesteld dat	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Gezien	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Hetzij	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Hierdoor	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Hierdoor	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Hierdoor	nl	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg1-as-manner	
Hierentegen	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Hierop	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Hiertoe	nl	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg1-as-goal	
Hiervoor	nl	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg1-as-goal	
Hiervoor	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Hoewel	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Hoezeer	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Immers	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
In de eerste plaats	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
In de eerste plaats	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
In de plaats van	nl	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
In de tweede plaats	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
In de tweede plaats	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
In geval van	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
In het kader van	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
In plaats daarvan	nl	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
In plaats van	nl	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
In tegenstelling tot	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
In verband met	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
In zover	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg1-as-cond	
In zoverre	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg1-as-cond	
Indien	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Integendeel	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Kort gezegd	nl	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Kortom	nl	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Krachtens	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Laat staan	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Laat staan dat	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Laat staan dat	nl	CONTINGENCY	CONTINGENCY:Negative-condition	CONTINGENCY:Negative-condition:Arg2-as-negcond	
Later	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Los daarvan	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Los daarvan	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Los daarvan	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Los daarvan	nl	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg1-as-excpt	
Met als gevolg dat	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Met andere woorden	nl	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Met tot gevolg dat	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Met {X} als gevolg	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Met {X} tot gevolg	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Mits	nl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Naar aanleiding daarvan	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Naar aanleiding van	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Naargelang	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Naarmate	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Naarmate	nl	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Naast	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Naast dat	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Nadat	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Naderhand	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Nadien	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Namelijk	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Namelijk	nl	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Net zomin	nl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Niettegenstaande	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Niettegenstaande	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Niettemin	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Niettemin	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Noch	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Nochtans	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Nochtans	nl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Of	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Ofschoon	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Oftewel	nl	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg2-as-subst	
Ofwel Of	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Ofwel Ofwel	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Ofwel of	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Ofwel ofwel	nl	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Om	nl	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg2-as-goal	
Om te beginnen	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Omdat	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Omwille van	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Ondanks	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Ondanks dat	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Onder andere	nl	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Onder meer	nl	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Ondertussen	nl	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Ongeacht	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Ongeacht of	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Ongeacht of dat	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Ook	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Ook al	nl	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Op basis van	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Op de eerste plaats	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Op de eerste plaats	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Op de tweede plaats	nl	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Op de tweede plaats	nl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Op die manier	nl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
