# global.columns = word lang pdtb1 pdtb2 pdtb3
afin d'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
afin de	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
afin qu'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
afin que	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
ainsi	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
alors	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause	
alors	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
alors	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
alors même qu'	fr	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
alors même qu'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
alors même que	fr	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
alors même que	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
alors qu'	fr	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
alors qu'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
alors que	fr	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
alors que	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
après	fr	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	
après	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
après qu'	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
après que	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
après quoi	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
après tout	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
attendu qu'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
attendu que	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
au bout du compte	fr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
au bout du compte	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
au cas où	fr	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
au cas où	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
au contraire	fr	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
au contraire	fr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
au fait	fr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
au lieu	fr	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	
au moment d'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
au moment de	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
au moment où	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
au même titre qu'	fr	COMPARISON	COMPARISON	COMPARISON	
au même titre que	fr	COMPARISON	COMPARISON	COMPARISON	
au point d'	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
au point de	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
au point qu'	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
au point que	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
au total	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
auparavant	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
aussi	fr	COMPARISON	COMPARISON	COMPARISON	
aussi	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
aussi longtemps qu'	fr	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
aussi longtemps que	fr	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
aussitôt	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
aussitôt	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
aussitôt qu'	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
aussitôt qu'	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
aussitôt que	fr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
aussitôt que	fr	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
autant	fr	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
autant dire qu'	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
autant dire que	fr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
autrement	fr	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
autrement	fr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
