# global.columns = word lang pdtb1 pdtb2 pdtb3
Accordingly	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Additionally	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
After	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
After	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Afterward	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Afterwards	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Also	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Also	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
Also	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Alternatively	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
Although	en	COMPARISON	COMPARISON	COMPARISON	
Although	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
Although	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Although	en	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	
And	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	
And	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
And	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
And	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	
And	en	EXPANSION	EXPANSION	EXPANSION	
And	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
And	en	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
And	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	
And	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
And	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
