# global.columns = word lang pdtb1 pdtb2 pdtb3
Are	en	Hypophora	Hypophora	Hypophora	
Do	en	Hypophora	Hypophora	Hypophora	
Even	en	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Even if	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
I mean	en	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
If ... if	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
It does not matter	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
It means	en	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
It would be the same thing	en	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
It's like	en	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
NONE	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Now	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Now	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Now	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
On the one hand ... but	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
One example is near and dear to our hearts	en	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
One of the most vivid examples of this comes	en	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
See	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
That's the equivalent of	en	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
That's why	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
The reason ... was	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
This is why	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Until	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Where	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Who here knows	en	Hypophora	Hypophora	Hypophora	
Years have passed	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	

