# global.columns = word lang pdtb1 pdtb2 pdtb3
Argi	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Dabar	lt	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Dabar	lt	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Dabar	lt	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Deja	lt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Ell	lt	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Ir pabaigai	lt	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Jis	lt	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Kiek	lt	Hypophora	Hypophora	Hypophora	
Kodė	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Kol ... tol	lt	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg1-as-cond	
Lyg	lt	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg2-as-manner	
Na	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Na	lt	EXPANSION	EXPANSION:Exception	EXPANSION:Exception:Arg2-as-excpt	
Na gi	lt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Net	lt	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Net ir	lt	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Tad	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Tad taip	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Tarytum	lt	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
To rezultatai	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Valio	lt	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
s B	lt	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Štai	lt	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
“Arb	lt	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	
„Je	lt	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
﻿Kai	lt	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	

