# global.columns = word lang pdtb1 pdtb2 pdtb3
A po tym	pl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Cz	pl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Czym	pl	EXPANSION	EXPANSION:Specification	EXPANSION:Specification:Arg2-as-detail	
Dopóki	pl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
ESG	pl	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Jes	pl	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Jeśli ... to	pl	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
Jeśli ... to	pl	CONTINGENCY	CONTINGENCY:Negative-condition	CONTINGENCY:Negative-condition:Arg2-as-negcond	
Odkąd	pl	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Podobnie jak	pl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Tak jak	pl	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
W skrócie	pl	EXPANSION	EXPANSION:Specification	EXPANSION:Specification:Arg1-as-detail	
em ES	pl	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	

