# global.columns = word lang pdtb1 pdtb2 pdtb3
. Não importa	tok	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
A razão ... era que	tok	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Até	tok	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Da mesma forma	tok	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
E se	tok	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg1-as-denier	
Esta é a razão por que	tok	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Isso significa	tok	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Isto equivale a	tok	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
O que é que	tok	Hypophora	Hypophora	Hypophora	
Para que percebam melhor	tok	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Por outras palavras	tok	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Por um lado ... mas também	tok	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Porque é que	tok	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Porquê	tok	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Quem	tok	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Resumindo	tok	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Se ... então	tok	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg1-as-cond	
Seria o mesmo	tok	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Temos um exemplo bem perto que nos é muito querido	tok	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Um de_ os exemplos mais vivos de_ isso aparece	tok	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
isto È	tok	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
É como	tok	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	

