# global.columns = word lang pdtb1 pdtb2 pdtb3
Вкратце	ru	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Вместе	ru	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Вот почему	ru	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Далее	ru	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Другими словами	ru	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Итак	ru	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Итак	ru	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Кто	ru	Hypophora	Hypophora	Hypophora	
Неужели	ru	Hypophora	Hypophora	Hypophora	
Один из наиболее ярких примеров этого проявляется	ru	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Однако	ru	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Однако	ru	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
Ответ на этот вопрос настолько же разнообразен , как и выбравшие жизнь в дороге люди . Однако , часто путешественники отвечают одним словом	ru	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Ответ прост	ru	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Пока	ru	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Потому	ru	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Прошли годы	ru	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
То есть	ru	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
То же самое	ru	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Чтоб	ru	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg2-as-goal	
Это означает	ru	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Это равноценно тому , как	ru	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Я имею в виду	ru	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	

